x1,x2,y1,y2
174.79055466999208,185.20944533000792,209.54423259036625,150.45576740963375
204.27573013870366,215.72426986129634,209.44881550342993,150.55118449657007
231.73087932549004,248.26912067450996,208.83785087814957,151.16214912185043
260.2329553662853,279.7670446337147,208.3655572679795,151.6344427320205
286.8488655963277,313.1511344036723,206.96382138897502,153.03617861102498
312.7927069094686,347.2072930905314,204.57456132866974,155.42543867133026
339.5400491981251,380.4599508018749,201.9406110485751,158.0593889514249
366.6856211562909,413.3143788437091,198.87961173149512,161.12038826850488
394.5585571153072,445.4414428846928,195.89757792699615,164.10242207300385
422.1844843629964,477.8155156370036,191.23819780247737,168.76180219752263
450.0,510.0,180.0,180.0
486.0409346985812,533.9590653014188,161.94554930543856,198.05445069456144
523.2242128958776,556.7757871041224,155.12887282334876,204.87112717665124
556.3802850078135,583.6197149921865,153.26980427434896,206.73019572565104
587.797900707726,612.202099292274,152.59363627072196,207.40636372927804
618.2780661453218,641.7219338546782,152.3848543964268,207.6151456035732
648.2780661453218,671.7219338546782,152.3848543964268,207.6151456035732
678.7618021975227,701.2381978024773,152.1844843629964,207.8155156370036
709.7393957002299,730.2606042997701,151.80922137642276,208.19077862357724
740.7294901687516,759.2705098312484,151.4683045111454,208.5316954888546
771.73087932549,788.26912067451,151.16214912185043,208.83785087814957
802.74234313201,817.25765686799,150.89112821172012,209.10887178827988
833.2514683696841,846.7485316303159,150.76889805644294,209.23110194355706
175.82480697119803,184.17519302880197,239.7080420622471,180.2919579377529
204.27573013870366,215.72426986129634,239.44881550342993,180.55118449657007
230.72949016875157,249.27050983124843,238.5316954888546,181.4683045111454
259.248961513641,280.751038486359,238.00741279491606,181.99258720508394
285.91585311642325,314.08414688357675,236.4884277857678,183.5115722142322
312.3664424312258,347.6335575687742,234.27050983124843,185.72949016875157
339.1602488862301,380.8397511137699,231.58019401015952,188.41980598984048
366.0409346985812,413.9590653014188,228.05445069456144,191.94554930543856
394.01923788646684,445.98076211353316,225.0,195.0
422.3848543964268,477.6151456035732,221.7219338546782,198.2780661453218
450.76889805644294,509.23110194355706,216.74853163031594,203.25146836968406
480.6555719779858,539.3444280220142,203.76264927546723,216.23735072453277
519.1602488862301,560.8397511137699,188.41980598984048,231.58019401015952
554.5488577526984,585.4511422473016,184.28498097893663,235.71501902106337
586.3802850078135,613.6197149921865,183.26980427434896,236.73019572565104
616.8488655963276,643.1511344036724,183.03617861102498,236.96382138897502
646.8488655963276,673.1511344036724,183.03617861102498,236.96382138897502
677.321452147779,702.678547852221,182.8107663889005,237.1892336110995
708.2780661453218,731.7219338546782,182.3848543964268,237.6151456035732
738.7618021975227,761.2381978024773,182.1844843629964,237.8155156370036
769.248961513641,790.751038486359,181.99258720508394,238.00741279491606
799.248961513641,820.751038486359,181.99258720508394,238.00741279491606
827.797900707726,852.202099292274,182.59363627072196,237.40636372927804
177.90730578767625,182.09269421232375,269.9269215077947,210.07307849220527
205.30696604879307,214.69303395120693,269.6306502178541,210.36934978214586
230.72949016875157,249.27050983124843,268.5316954888546,211.4683045111454
259.248961513641,280.751038486359,268.00741279491604,211.99258720508394
