nan,nan,nan,nan,nan,-10.112060,-5.476929,5.131997,13.125157,12.253606,nan,nan,-10.054230,nan,-7.149094,0.993800,9.407640,14.927343,16.332167,14.875126,15.432640,21.801849,28.382154,24.752588,nan,nan,-6.881591,-4.934916,-3.516823,nan,nan,nan,nan
9.610276,nan,nan,nan,nan,nan,nan,3.781240,11.756444,12.070431,5.813374,nan,-8.107569,-10.289270,-7.276030,-0.071357,7.886195,13.551504,15.465214,14.411772,14.843394,20.619634,26.908621,23.911279,10.779602,nan,nan,nan,nan,nan,nan,nan,nan
2.119264,3.291761,5.373126,5.009464,nan,nan,nan,0.490218,8.004576,10.920177,8.302680,nan,nan,nan,-7.735234,-3.007356,3.575066,9.543622,13.091192,13.777146,14.521781,18.904745,24.142220,22.461220,nan,nan,-7.149522,nan,nan,nan,nan,nan,nan
-7.230242,-4.219937,2.794180,8.348389,7.334234,nan,nan,nan,nan,7.739514,8.507242,5.132787,nan,nan,nan,nan,-2.850013,2.983707,9.114339,13.671478,16.545634,19.720291,22.992727,22.154956,14.240475,nan,nan,nan,nan,nan,nan,-5.783873,nan
-14.739554,-10.461501,0.407162,11.594991,15.314752,nan,nan,nan,nan,2.606163,4.379772,2.659791,-1.571418,nan,nan,-10.491689,-10.018612,-5.943436,2.487209,12.653542,20.191672,23.564501,24.553572,23.531010,17.668025,6.070355,-6.593625,nan,nan,nan,nan,nan,-7.909747
nan,-14.002233,nan,13.625879,22.806407,20.413765,10.344384,1.228235,-2.457851,-2.560559,-2.651513,-3.995502,-5.458181,-6.250737,-7.590468,-11.106852,-15.593795,-15.931922,-7.432906,8.141163,22.221112,28.106528,27.743474,25.858146,21.085864,9.640439,-5.466320,-15.880288,nan,-12.802174,nan,nan,nan
-19.949712,nan,nan,12.086422,27.042574,30.476129,21.721893,8.921577,-0.436300,-5.671825,-9.358794,-11.643677,-10.431891,-6.253081,-3.848482,-7.906175,-17.402533,-24.176026,-18.831351,-0.348215,20.309806,30.880971,30.971908,28.060756,23.392776,12.261503,-3.835118,-15.789663,-17.611049,-13.146028,nan,nan,nan
-22.204377,-20.313230,nan,5.257295,25.726606,36.764848,31.898959,17.425551,3.612838,-6.111991,-13.580284,nan,-15.819643,-7.436618,-0.436764,-2.916887,-15.219332,-27.832473,nan,-10.097949,14.903806,30.920110,33.196007,29.429083,23.991918,13.447660,-2.011464,-14.396416,-17.320266,nan,-11.956811,nan,nan
-26.315554,-26.091473,-21.166565,-4.849488,19.975990,38.579464,38.975168,24.778070,8.378462,-4.191252,-14.669190,nan,-21.921507,-11.957841,-0.971943,0.253238,-10.825947,-25.742021,-30.694479,-17.246497,8.035438,28.181358,33.776630,30.004049,23.655576,14.152074,0.670769,-11.609291,-16.783449,-15.880317,-15.282395,nan,nan
-30.533356,-31.189392,-28.235193,-12.953356,13.992897,37.662357,42.853618,30.454990,13.517470,-0.044412,-12.309912,nan,nan,-19.796705,-6.805955,-0.671830,-6.391855,-18.727422,-26.298763,nan,1.646990,22.668214,31.855568,29.929189,23.918304,16.259017,5.617888,nan,-14.949471,-18.246490,-19.821634,nan,nan
